0.000 1.7128  0.0112
0.001 1.7344  0.0169  
0.002 1.7880  0.0046  
0.003 1.8762  0.0469  
0.004 1.8886  0.0140  
0.005 1.9234  0.0094  
0.006 1.9348  0.0063  
#0.007 1.9288  0.0166  
#0.008 1.8302  0.0526
