0.000 0.5055  0.0144  0.2087  0.0033  0.1400  0.0030  0.0998  0.0047  
0.001 0.5367  0.0217  0.2000  0.0055  0.1340  0.0060  0.0917  0.0062  
0.002 0.6065  0.0047  0.1805  0.0032  0.1177  0.0019  0.0700  0.0024  
0.003 0.7308  0.0818  0.1315  0.0344  0.0842  0.0217  0.0410  0.0187  
0.004 0.7760  0.0175  0.1155  0.0084  0.0698  0.0062  0.0310  0.0023  
0.005 0.8307  0.0257  0.0888  0.0155  0.0605  0.0021  0.0165  0.0072  
0.006 0.8613  0.0180  0.0718  0.0109  0.0540  0.0037  0.0117  0.0026  
0.007 0.8483  0.0364  0.0777  0.0179  0.0553  0.0094  0.0163  0.0082  
0.008 0.7275  0.0240  0.1305  0.0108  0.0865  0.0081  0.0440  0.0046  
