0.0000	  0.0271  0.0588  
0.0010	  0.6540  0.0200  
0.0020	  0.8067  0.0095  
0.0030	  0.8998  0.0267  
0.0040	  0.9084  0.0079  
0.0050	  0.9401  0.0102  
0.0060	  0.9536  0.0101  
0.0070	  0.9511  0.0095  
0.0080	  0.8144  0.0957  
