 #Z (A)  proton-shared coord
  -1.9866666666666666        0.0000000000000000     
  -1.9733333333333334        1.3014732677390805E-003
  -1.9600000000000000        0.0000000000000000     
  -1.9466666666666668        0.0000000000000000     
  -1.9333333333333333        1.9522099016086210E-003
  -1.9199999999999999        6.5073663386954026E-004
  -1.9066666666666667        6.5073663386954026E-004
  -1.8933333333333333        2.6029465354781610E-003
  -1.8799999999999999        6.5073663386954026E-004
  -1.8666666666666667        2.6029465354781610E-003
  -1.8533333333333333        1.9522099016086210E-003
  -1.8400000000000001        6.5073663386954026E-004
  -1.8266666666666667        1.9522099016086210E-003
  -1.8133333333333332        6.5073663386954026E-004
  -1.8000000000000000        6.5073663386954026E-004
  -1.7866666666666666        6.5073663386954026E-004
  -1.7733333333333334        6.5073663386954026E-004
  -1.7600000000000000        0.0000000000000000     
  -1.7466666666666666        1.3014732677390805E-003
  -1.7333333333333334        0.0000000000000000     
  -1.7200000000000000        1.3014732677390805E-003
  -1.7066666666666666        6.5073663386954026E-004
  -1.6933333333333334        1.9522099016086210E-003
  -1.6799999999999999        6.5073663386954026E-004
  -1.6666666666666665        1.3014732677390805E-003
  -1.6533333333333333        1.9522099016086210E-003
  -1.6399999999999999        6.5073663386954026E-004
  -1.6266666666666667        1.3014732677390805E-003
  -1.6133333333333333        1.9522099016086210E-003
  -1.6000000000000001        3.9044198032172420E-003
  -1.5866666666666667        1.9522099016086210E-003
  -1.5733333333333333        3.2536831693477015E-003
  -1.5600000000000001        1.9522099016086210E-003
  -1.5466666666666666        1.3014732677390805E-003
  -1.5333333333333332        1.3014732677390805E-003
  -1.5200000000000000        4.5551564370867820E-003
  -1.5066666666666666        2.6029465354781610E-003
  -1.4933333333333332        1.3014732677390805E-003
  -1.4800000000000000        1.3014732677390805E-003
  -1.4666666666666668        5.8566297048258630E-003
  -1.4533333333333331        2.6029465354781610E-003
  -1.4399999999999999        7.1581029725649430E-003
  -1.4266666666666667        2.6029465354781610E-003
  -1.4133333333333333        2.6029465354781610E-003
  -1.3999999999999999        4.5551564370867820E-003
  -1.3866666666666667        5.2058930709563220E-003
  -1.3733333333333333        7.8088396064344839E-003
  -1.3599999999999999        1.0411786141912644E-002
  -1.3466666666666667        9.1103128741735640E-003
  -1.3333333333333333        8.4595762403040248E-003
  -1.3199999999999998        1.1713259409651726E-002
  -1.3066666666666666        1.3014732677390806E-002
  -1.2933333333333334        1.6268415846738507E-002
  -1.2799999999999998        1.1713259409651726E-002
  -1.2666666666666666        1.4966942578999427E-002
  -1.2533333333333334        1.6919152480608050E-002
  -1.2400000000000000        1.3014732677390806E-002
  -1.2266666666666666        1.8871362382216667E-002
  -1.2133333333333334        2.2775782185433909E-002
  -1.2000000000000000        2.2775782185433909E-002
