 #Z (A)  proton-shared coord
  -1.9866666666666666        0.0000000000000000     
  -1.9733333333333334        0.0000000000000000     
  -1.9600000000000000        1.1410662122687439E-003
  -1.9466666666666668        5.7053310613437193E-004
  -1.9333333333333333        0.0000000000000000     
  -1.9199999999999999        0.0000000000000000     
  -1.9066666666666667        0.0000000000000000     
  -1.8933333333333333        5.7053310613437193E-004
  -1.8799999999999999        0.0000000000000000     
  -1.8666666666666667        0.0000000000000000     
  -1.8533333333333333        0.0000000000000000     
  -1.8400000000000001        5.7053310613437193E-004
  -1.8266666666666667        0.0000000000000000     
  -1.8133333333333332        5.7053310613437193E-004
  -1.8000000000000000        1.1410662122687439E-003
  -1.7866666666666666        0.0000000000000000     
  -1.7733333333333334        5.7053310613437193E-004
  -1.7600000000000000        0.0000000000000000     
  -1.7466666666666666        0.0000000000000000     
  -1.7333333333333334        5.7053310613437193E-004
  -1.7200000000000000        5.7053310613437193E-004
  -1.7066666666666666        5.7053310613437193E-004
  -1.6933333333333334        0.0000000000000000     
  -1.6799999999999999        0.0000000000000000     
  -1.6666666666666665        0.0000000000000000     
  -1.6533333333333333        0.0000000000000000     
  -1.6399999999999999        0.0000000000000000     
  -1.6266666666666667        0.0000000000000000     
  -1.6133333333333333        0.0000000000000000     
  -1.6000000000000001        0.0000000000000000     
  -1.5866666666666667        0.0000000000000000     
  -1.5733333333333333        1.1410662122687439E-003
  -1.5600000000000001        1.1410662122687439E-003
  -1.5466666666666666        0.0000000000000000     
  -1.5333333333333332        3.4231986368062316E-003
  -1.5200000000000000        1.1410662122687439E-003
  -1.5066666666666666        2.8526655306718596E-003
  -1.4933333333333332        1.7115993184031158E-003
  -1.4800000000000000        2.8526655306718596E-003
  -1.4666666666666668        5.1347979552093474E-003
  -1.4533333333333331        3.4231986368062316E-003
  -1.4399999999999999        3.4231986368062316E-003
  -1.4266666666666667        6.8463972736124631E-003
  -1.4133333333333333        5.7053310613437193E-003
  -1.3999999999999999        1.0840129016553067E-002
  -1.3866666666666667        7.4169303797468351E-003
  -1.3733333333333333        4.5642648490749754E-003
  -1.3599999999999999        9.1285296981499509E-003
  -1.3466666666666667        9.1285296981499509E-003
  -1.3333333333333333        9.1285296981499509E-003
  -1.3199999999999998        6.2758641674780912E-003
  -1.3066666666666666        9.1285296981499509E-003
  -1.2933333333333334        1.5404393865628042E-002
  -1.2799999999999998        1.1410662122687439E-002
  -1.2666666666666666        1.4833860759493670E-002
  -1.2533333333333334        8.5579965920155789E-003
  -1.2400000000000000        1.6545460077896788E-002
  -1.2266666666666666        1.6545460077896788E-002
  -1.2133333333333334        1.8257059396299902E-002
  -1.2000000000000000        2.1109724926971763E-002
